head,split,round,acc,f1
attention,iid,1,0.7605,0.5828
attention,iid,2,0.8621,0.7502
attention,iid,3,0.8744,0.7668
attention,iid,4,0.9065,0.8577
attention,iid,5,0.9321,0.9178
attention,iid,6,0.9417,0.9319
attention,iid,7,0.9437,0.9362
attention,iid,8,0.9450,0.9381
attention,iid,9,0.9478,0.9418
attention,iid,10,0.9476,0.9408
attention,iid,11,0.9510,0.9441
attention,iid,12,0.9498,0.9428
attention,iid,13,0.9480,0.9414
attention,iid,14,0.9480,0.9404
attention,iid,15,0.9478,0.9411
attention,iid,16,0.9478,0.9401
attention,iid,17,0.9492,0.9421
attention,iid,18,0.9492,0.9430
attention,iid,19,0.9504,0.9433
attention,iid,20,0.9500,0.9439
